City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
205,Maragogi,BR,83.66,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
209,Santa Isabel Do Rio Negro,BR,75.06,light rain,-0.41,-65.02,Hotel GSA
213,Lorengau,PG,82.87,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
215,Faanui,PF,79.03,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
221,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
222,Isiolo,KE,78.28,scattered clouds,0.35,37.58,Gaddisa Hotel
223,Kruisfontein,ZA,75.99,few clouds,-34.0,24.73,Oyster Bay House Rental
224,Bhimunipatnam,IN,80.6,mist,17.88,83.43,Bheemili Court
228,Requena,ES,80.01,clear sky,39.49,-1.1,Hotel Avenida
242,San Policarpo,PH,79.23,broken clouds,12.18,125.51,Zal-Ann Beach Resort
245,Sola,VU,80.4,few clouds,-13.88,167.55,Ulkel Guest House
247,Bitung,ID,75.2,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
249,Barra Do Garcas,BR,82.4,broken clouds,-15.89,-52.26,Hotel Pousada Tropical
251,Huercal-Overa,ES,76.78,clear sky,37.39,-1.95,Casa Rural Aloe Vera
256,Honiara,SB,75.2,few clouds,-9.43,159.95,Heritage Park Hotel
257,Alanya,TR,75.2,scattered clouds,36.54,32.0,Panorama Hotel
263,Samana,DO,82.4,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
