City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Christchurch,NZ,2020-10-30 16:20:49,-43.53,172.63,66.0,63,97,8.05
170,Alta Floresta,BR,2020-10-30 16:20:49,-9.88,-56.09,83.55,69,99,2.21
171,Kavaratti,IN,2020-10-30 16:20:49,10.57,72.64,82.87,72,61,8.9
172,Yangjiang,CN,2020-10-30 16:20:49,21.85,111.97,70.16,84,20,3.53
173,Port Keats,AU,2020-10-30 16:20:49,-14.25,129.55,82.87,77,1,11.77
174,Bredy,RU,2020-10-30 16:20:49,52.42,60.34,39.76,69,85,7.29
175,East London,ZA,2020-10-30 16:20:49,-33.02,27.91,59.0,82,20,3.36
176,Palmas,BR,2020-10-30 16:20:49,-10.21,-48.36,87.8,66,75,8.05
177,Codrington,AU,2020-10-30 16:20:49,-38.27,141.97,50.86,88,0,10.16
178,Ginir,ET,2020-10-30 16:20:49,7.13,40.7,59.81,94,97,4.65
179,Qaanaaq,GL,2020-10-30 16:20:49,77.48,-69.36,15.51,81,99,5.32
180,Kishi,NG,2020-10-30 16:20:50,9.08,3.85,90.1,38,74,4.43
181,Kavieng,PG,2020-10-30 16:20:48,-2.57,150.8,81.39,78,75,5.39
182,Flinders,AU,2020-10-30 16:20:50,-34.58,150.86,63.0,90,100,3.0
183,Pangnirtung,CA,2020-10-30 16:20:30,66.15,-65.71,8.71,83,32,0.34
184,Te Anau,NZ,2020-10-30 16:20:50,-45.42,167.72,54.03,91,100,1.97
185,Plouzane,FR,2020-10-30 16:20:50,48.38,-4.62,57.2,93,90,18.34
186,Atuona,PF,2020-10-30 16:20:50,-9.8,-139.03,77.34,73,30,12.97
187,Ruteng,ID,2020-10-30 16:20:50,-8.61,120.47,63.95,100,63,1.77
188,Calama,CL,2020-10-30 16:20:09,-22.47,-68.93,62.6,12,0,5.82
189,Sussex,US,2020-10-30 16:20:50,41.18,-74.67,37.99,93,90,3.36
190,Uyo,NG,2020-10-30 16:20:50,5.03,7.93,83.86,76,70,4.59
191,Victor Harbor,AU,2020-10-30 16:20:50,-35.57,138.62,57.0,81,81,1.99
192,Eureka,US,2020-10-30 16:20:50,40.8,-124.16,42.8,100,90,2.82
193,Hofn,IS,2020-10-30 16:20:34,64.25,-15.21,41.0,86,20,5.82
194,Bontang,ID,2020-10-30 16:20:51,0.13,117.5,80.96,83,21,4.43
195,Dosso,NE,2020-10-30 16:20:51,13.05,3.19,97.5,13,0,8.52
196,Shubarkuduk,KZ,2020-10-30 16:20:51,49.14,56.49,46.92,49,90,14.94
